,main_value,main_error,naive_value,naive_error,control_value,control_error,R
0,0.7686499755677376,0.045816339584200755,0.03989831770582859,0.020597377006078072,0.756298252553129,0.04665806161476391,0.05068376876247638
1,0.7470344602921726,0.047254091956456815,0.033722456198524285,0.018856605740248868,0.7593861833067812,0.046452757509715885,0.0
2,0.734682737277564,0.04800392463638881,0.05842590222774154,0.02499597146008751,0.7717379063213898,0.045597206069864234,0.0
3,0.734682737277564,0.04800392463638881,0.030634525444872125,0.017913346937467777,0.7501223910458247,0.04705868651836248,0.0
4,0.7315948065239117,0.048183621051491564,0.04298624845948075,0.021406744672573193,0.7686499755677376,0.045816339584200755,0.0
5,0.7470344602921726,0.047254091956456815,0.055337971474089385,0.02432995034819028,0.7655620448140855,0.04603194336415001,0.0
6,0.7192430835093031,0.048872387100161924,0.05842590222774154,0.02499597146008751,0.7810016985823462,0.04491810636743836,0.0
7,0.7408585987848683,0.04763529009700619,0.03989831770582859,0.020597377006078072,0.7501223910458247,0.04705868651836248,0.0
8,0.737770668031216,0.04782115942579005,0.03989831770582859,0.020597377006078072,0.7810016985823462,0.04491810636743836,0.0
9,0.7686499755677376,0.045816339584200755,0.04607417921313291,0.022181446320998624,0.7593861833067812,0.046452757509715885,0.038500666288701524
