,main_value,main_error,naive_value,naive_error,control_value,control_error,R
0,0.02445866393756781,0.015837740742448477,0.05225004072043723,0.023640335110265996,0.030634525444872125,0.017913346937467777,0.0
1,0.036810386952176435,0.019749081676185918,0.030634525444872125,0.017913346937467777,0.04298624845948075,0.021406744672573193,0.0
2,0.01519487167661134,0.01200150294014123,0.05842590222774154,0.02499597146008751,0.03989831770582859,0.020597377006078072,0.0
3,0.04298624845948075,0.021406744672573193,0.036810386952176435,0.019749081676185918,0.033722456198524285,0.018856605740248868,0.009587092570227147
4,0.021370733183915653,0.014678680004994962,0.030634525444872125,0.017913346937467777,0.03989831770582859,0.020597377006078072,0.0
5,0.033722456198524285,0.018856605740248868,0.03989831770582859,0.020597377006078072,0.030634525444872125,0.017913346937467777,0.003185517572790911
6,0.005931079415654869,0.005931079415654869,0.036810386952176435,0.019749081676185918,0.030634525444872125,0.017913346937467777,0.0
7,0.027546594691219967,0.016910809632580032,0.030634525444872125,0.017913346937467777,0.04298624845948075,0.021406744672573193,0.0
8,0.021370733183915653,0.014678680004994962,0.033722456198524285,0.018856605740248868,0.030634525444872125,0.017913346937467777,0.0
9,0.030634525444872125,0.017913346937467777,0.036810386952176435,0.019749081676185918,0.036810386952176435,0.019749081676185918,0.0
